payment_id,order_id,payment_method,payment_status
84,84,COD,Paid
85,85,UPI,Failed
86,86,Net Banking,Failed
87,87,Debit Card,Failed
88,88,Credit Card,Paid
89,89,COD,Paid
90,90,Debit Card,Paid
91,91,Net Banking,Refunded
92,92,Credit Card,Paid
93,93,Net Banking,Paid
94,94,UPI,Paid
95,95,Credit Card,Refunded
96,96,Credit Card,Paid
97,97,Debit Card,Failed
98,98,UPI,Paid
99,99,COD,Refunded
100,100,Credit Card,Paid
101,101,Credit Card,Refunded
102,102,Debit Card,Paid
103,103,Net Banking,Paid
104,104,Credit Card,Paid
105,105,UPI,Failed
106,106,UPI,Paid
107,107,UPI,Paid
108,108,Debit Card,Paid
109,109,Debit Card,Paid
110,110,COD,Refunded
111,111,UPI,Failed
112,112,Credit Card,Paid
113,113,Credit Card,Paid
114,114,UPI,Paid
115,115,Debit Card,Paid
116,116,Net Banking,Failed
117,117,Debit Card,Paid
118,118,UPI,Paid
119,119,UPI,Paid
120,120,UPI,Paid
121,121,UPI,Paid
122,122,Credit Card,Refunded
123,123,Debit Card,Paid
124,124,Credit Card,Paid
125,125,Debit Card,Refunded
126,126,UPI,Paid
127,127,Credit Card,Failed
128,128,Credit Card,Paid
129,129,Net Banking,Paid
130,130,Credit Card,Paid
131,131,Debit Card,Paid
132,132,COD,Failed
133,133,UPI,Refunded
134,134,Net Banking,Paid
135,135,Credit Card,Paid
136,136,Net Banking,Paid
137,137,UPI,Paid
138,138,Net Banking,Refunded
139,139,UPI,Paid
140,140,Debit Card,Paid
141,141,Credit Card,Failed
142,142,Credit Card,Paid
143,143,Net Banking,Paid
144,144,Credit Card,Paid
145,145,Credit Card,Refunded
146,146,Debit Card,Paid
147,147,UPI,Paid
148,148,Net Banking,Paid
149,149,UPI,Failed
150,150,UPI,Paid
151,151,Credit Card,Paid
152,152,Debit Card,Paid
153,153,UPI,Paid
154,154,COD,Paid
155,155,UPI,Failed
156,156,UPI,Paid
157,157,Debit Card,Paid
158,158,COD,Refunded
159,159,Debit Card,Paid
160,160,UPI,Paid
161,161,Net Banking,Paid
162,162,UPI,Paid
163,163,Net Banking,Paid
164,164,UPI,Paid
165,165,UPI,Paid
166,166,UPI,Paid
167,167,UPI,Failed
168,168,Credit Card,Paid
169,169,Net Banking,Paid
170,170,Net Banking,Paid
171,171,Credit Card,Failed
172,172,UPI,Refunded
173,173,Credit Card,Paid
174,174,Credit Card,Refunded
175,175,Credit Card,Paid
176,176,UPI,Paid
177,177,Net Banking,Paid
178,178,Credit Card,Paid
179,179,Debit Card,Failed
180,180,UPI,Paid
181,181,Debit Card,Paid
182,182,UPI,Refunded
183,183,Credit Card,Paid
184,184,Credit Card,Paid
185,185,COD,Paid
186,186,Credit Card,Paid
187,187,Credit Card,Paid
188,188,Net Banking,Paid
189,189,COD,Paid
190,190,UPI,Paid
191,191,Net Banking,Paid
192,192,UPI,Paid
193,193,UPI,Paid
194,194,Debit Card,Refunded
195,195,Debit Card,Paid
196,196,UPI,Refunded
197,197,Net Banking,Refunded
198,198,UPI,Refunded
199,199,Debit Card,Failed
200,200,UPI,Refunded
201,201,Credit Card,Failed
202,202,UPI,Failed
203,203,Net Banking,Refunded
204,204,Net Banking,Refunded
205,205,UPI,Failed
206,206,UPI,Paid
207,207,Net Banking,Refunded
208,208,Debit Card,Paid
209,209,Debit Card,Paid
210,210,COD,Paid
211,211,UPI,Paid
212,212,UPI,Refunded
213,213,COD,Failed
214,214,UPI,Refunded
215,215,Credit Card,Paid
216,216,UPI,Paid
217,217,UPI,Paid
218,218,COD,Paid
219,219,Credit Card,Failed
220,220,Credit Card,Paid
221,221,Debit Card,Failed
222,222,Credit Card,Paid
223,223,Credit Card,Failed
224,224,Net Banking,Paid
225,225,COD,Paid
226,226,Net Banking,Paid
227,227,UPI,Paid
228,228,Debit Card,Refunded
229,229,Net Banking,Paid
230,230,Credit Card,Paid
231,231,UPI,Failed
232,232,COD,Paid
233,233,Credit Card,Refunded
234,234,Net Banking,Refunded
235,235,UPI,Paid
236,236,UPI,Failed
237,237,UPI,Paid
238,238,Net Banking,Paid
239,239,UPI,Paid
240,240,Debit Card,Paid
241,241,Debit Card,Refunded
242,242,COD,Paid
243,243,Credit Card,Failed
244,244,Debit Card,Paid
245,245,COD,Failed
246,246,UPI,Paid
247,247,Credit Card,Paid
248,248,Debit Card,Failed
249,249,Credit Card,Paid
250,250,Credit Card,Paid
251,251,COD,Paid
252,252,Debit Card,Paid
253,253,Net Banking,Paid
254,254,UPI,Paid
255,255,Credit Card,Paid
256,256,Credit Card,Paid
257,257,UPI,Paid
258,258,Debit Card,Paid
259,259,UPI,Paid
260,260,UPI,Paid
261,261,Debit Card,Refunded
262,262,Credit Card,Paid
263,263,Debit Card,Paid
264,264,Credit Card,Paid
265,265,COD,Paid
266,266,Debit Card,Paid
267,267,UPI,Paid
268,268,Debit Card,Paid
269,269,UPI,Paid
270,270,COD,Refunded
271,271,UPI,Paid
272,272,Net Banking,Failed
273,273,UPI,Paid
274,274,Net Banking,Paid
275,275,Debit Card,Paid
276,276,Credit Card,Refunded
277,277,Net Banking,Refunded
278,278,COD,Failed
279,279,Debit Card,Failed
280,280,Credit Card,Paid
281,281,Credit Card,Paid
282,282,Credit Card,Paid
283,283,UPI,Refunded
284,284,Debit Card,Paid
285,285,Credit Card,Refunded
286,286,Net Banking,Failed
287,287,COD,Paid
288,288,UPI,Failed
289,289,Debit Card,Failed
290,290,UPI,Paid
291,291,UPI,Paid
292,292,Credit Card,Paid
293,293,Debit Card,Paid
294,294,Debit Card,Failed
295,295,Net Banking,Paid
296,296,UPI,Paid
297,297,COD,Paid
298,298,Debit Card,Paid
299,299,Debit Card,Paid
300,300,Debit Card,Paid
301,301,Net Banking,Paid
302,302,Debit Card,Paid
303,303,UPI,Paid
304,304,Net Banking,Paid
305,305,UPI,Paid
306,306,Net Banking,Failed
307,307,UPI,Paid
308,308,UPI,Paid
309,309,Credit Card,Refunded
310,310,Net Banking,Paid
311,311,Net Banking,Refunded
312,312,UPI,Paid
313,313,Net Banking,Refunded
314,314,Credit Card,Paid
315,315,Credit Card,Paid
316,316,UPI,Failed
317,317,Net Banking,Paid
318,318,Credit Card,Paid
319,319,COD,Paid
320,320,Credit Card,Paid
321,321,Net Banking,Paid
322,322,Net Banking,Failed
323,323,UPI,Paid
324,324,UPI,Paid
325,325,UPI,Failed
326,326,UPI,Paid
327,327,Net Banking,Paid
328,328,COD,Paid
329,329,UPI,Paid
330,330,UPI,Failed
331,331,Credit Card,Paid
332,332,UPI,Failed
333,333,UPI,Failed
334,334,Credit Card,Refunded
335,335,COD,Refunded
336,336,Net Banking,Paid
337,337,COD,Paid
338,338,UPI,Paid
339,339,Debit Card,Paid
340,340,COD,Paid
341,341,Net Banking,Paid
342,342,Credit Card,Refunded
343,343,Net Banking,Failed
344,344,Debit Card,Paid
345,345,COD,Paid
346,346,Debit Card,Paid
347,347,COD,Failed
348,348,UPI,Paid
349,349,Credit Card,Paid
350,350,UPI,Paid
351,351,COD,Paid
352,352,UPI,Refunded
353,353,UPI,Refunded
354,354,UPI,Paid
355,355,COD,Paid
356,356,COD,Paid
357,357,Credit Card,Paid
358,358,UPI,Paid
359,359,Debit Card,Failed
360,360,Credit Card,Paid
361,361,Debit Card,Paid
362,362,UPI,Refunded
363,363,Debit Card,Paid
364,364,Credit Card,Paid
365,365,Net Banking,Paid
366,366,Debit Card,Paid
367,367,UPI,Failed
368,368,Credit Card,Refunded
369,369,Credit Card,Failed
370,370,Credit Card,Refunded
371,371,Credit Card,Refunded
372,372,UPI,Failed
373,373,Credit Card,Paid
374,374,Debit Card,Paid
375,375,Credit Card,Paid
376,376,UPI,Paid
377,377,Net Banking,Paid
378,378,COD,Paid
379,379,Credit Card,Refunded
380,380,Debit Card,Paid
381,381,COD,Paid
382,382,UPI,Paid
383,383,UPI,Paid
384,384,COD,Paid
385,385,UPI,Paid
386,386,Debit Card,Failed
387,387,Debit Card,Paid
388,388,Debit Card,Paid
389,389,Credit Card,Paid
390,390,Credit Card,Paid
391,391,Debit Card,Paid
392,392,UPI,Paid
393,393,UPI,Refunded
394,394,Net Banking,Paid
395,395,Credit Card,Failed
396,396,Debit Card,Refunded
397,397,Credit Card,Failed
398,398,UPI,Paid
399,399,Credit Card,Paid
400,400,UPI,Paid
401,401,Credit Card,Paid
402,402,Credit Card,Paid
403,403,UPI,Paid
404,404,Credit Card,Refunded
405,405,UPI,Paid
406,406,Credit Card,Paid
407,407,UPI,Paid
408,408,Net Banking,Refunded
409,409,Net Banking,Refunded
410,410,UPI,Paid
411,411,UPI,Paid
412,412,Debit Card,Refunded
413,413,UPI,Paid
414,414,COD,Paid
415,415,Debit Card,Failed
416,416,UPI,Paid
417,417,UPI,Paid
418,418,Debit Card,Failed
419,419,Debit Card,Paid
420,420,COD,Failed
421,421,Credit Card,Paid
422,422,Credit Card,Refunded
423,423,Debit Card,Paid
424,424,UPI,Paid
425,425,UPI,Failed
426,426,UPI,Refunded
427,427,UPI,Paid
428,428,Net Banking,Refunded
429,429,COD,Paid
430,430,UPI,Paid
431,431,Credit Card,Paid
432,432,Credit Card,Paid
433,433,Net Banking,Paid
434,434,UPI,Paid
435,435,Debit Card,Refunded
436,436,Credit Card,Failed
437,437,Debit Card,Failed
438,438,UPI,Refunded
439,439,UPI,Failed
440,440,Credit Card,Failed
441,441,Credit Card,Paid
442,442,UPI,Paid
443,443,UPI,Paid
444,444,Credit Card,Paid
445,445,Debit Card,Failed
446,446,COD,Paid
447,447,Credit Card,Refunded
448,448,UPI,Paid
449,449,Debit Card,Paid
450,450,UPI,Paid
451,451,UPI,Failed
452,452,Debit Card,Paid
453,453,Debit Card,Refunded
454,454,UPI,Paid
455,455,Debit Card,Paid
456,456,Debit Card,Paid
457,457,COD,Paid
458,458,Credit Card,Refunded
459,459,UPI,Paid
460,460,UPI,Paid
461,461,Net Banking,Refunded
462,462,Debit Card,Paid
463,463,Credit Card,Refunded
464,464,Debit Card,Paid
465,465,Debit Card,Paid
466,466,Debit Card,Refunded
467,467,COD,Paid
468,468,UPI,Failed
469,469,COD,Paid
470,470,Debit Card,Paid
471,471,COD,Paid
472,472,Net Banking,Paid
473,473,UPI,Failed
474,474,UPI,Paid
475,475,UPI,Paid
476,476,UPI,Paid
477,477,Debit Card,Paid
478,478,UPI,Paid
479,479,Credit Card,Refunded
480,480,UPI,Paid
481,481,Net Banking,Paid
482,482,UPI,Paid
483,483,UPI,Paid
484,484,UPI,Failed
485,485,Debit Card,Failed
486,486,Credit Card,Failed
487,487,UPI,Failed
488,488,Debit Card,Paid
489,489,Credit Card,Paid
490,490,Credit Card,Refunded
491,491,COD,Paid
492,492,COD,Paid
493,493,Credit Card,Paid
494,494,Credit Card,Refunded
495,495,Net Banking,Paid
496,496,UPI,Refunded
497,497,Debit Card,Paid
498,498,UPI,Failed
499,499,COD,Paid
500,500,UPI,Paid
501,501,Credit Card,Paid
502,502,Net Banking,Paid
503,503,Credit Card,Paid
504,504,COD,Refunded
505,505,Credit Card,Paid
506,506,UPI,Paid
507,507,Credit Card,Paid
508,508,Credit Card,Paid
509,509,Net Banking,Paid
510,510,Net Banking,Paid
511,511,Credit Card,Refunded
512,512,Net Banking,Paid
513,513,Net Banking,Paid
514,514,COD,Paid
515,515,Credit Card,Paid
516,516,COD,Paid
517,517,UPI,Paid
518,518,Net Banking,Failed
519,519,Net Banking,Paid
520,520,UPI,Failed
521,521,COD,Paid
522,522,Net Banking,Refunded
523,523,Debit Card,Paid
524,524,Debit Card,Paid
525,525,UPI,Refunded
526,526,Net Banking,Failed
527,527,Credit Card,Paid
528,528,Debit Card,Paid
529,529,Credit Card,Paid
530,530,UPI,Failed
531,531,Debit Card,Paid
532,532,Credit Card,Paid
533,533,UPI,Refunded
534,534,Credit Card,Paid
535,535,UPI,Paid
536,536,Credit Card,Refunded
537,537,Debit Card,Paid
538,538,Debit Card,Paid
539,539,COD,Failed
540,540,Credit Card,Paid
541,541,UPI,Paid
542,542,COD,Paid
543,543,UPI,Paid
544,544,Debit Card,Paid
545,545,Debit Card,Refunded
546,546,Net Banking,Failed
547,547,Debit Card,Paid
548,548,UPI,Refunded
549,549,Credit Card,Refunded
550,550,UPI,Failed
551,551,Credit Card,Paid
552,552,Credit Card,Paid
553,553,Net Banking,Paid
554,554,UPI,Paid
555,555,Net Banking,Paid
556,556,Credit Card,Paid
557,557,UPI,Paid
558,558,UPI,Paid
559,559,Debit Card,Paid
560,560,COD,Paid
561,561,UPI,Paid
562,562,Credit Card,Failed
563,563,Credit Card,Paid
564,564,COD,Refunded
565,565,Debit Card,Paid
566,566,Debit Card,Paid
567,567,Debit Card,Paid
568,568,Credit Card,Paid
569,569,UPI,Paid
570,570,Debit Card,Paid
571,571,Debit Card,Paid
572,572,Net Banking,Paid
573,573,Credit Card,Paid
574,574,Credit Card,Refunded
575,575,Debit Card,Failed
576,576,UPI,Paid
577,577,UPI,Paid
578,578,Credit Card,Paid
579,579,UPI,Paid
580,580,Debit Card,Paid
581,581,UPI,Paid
582,582,COD,Paid
583,583,COD,Paid
584,584,Credit Card,Paid
585,585,UPI,Paid
586,586,Credit Card,Failed
587,587,COD,Failed
588,588,Debit Card,Refunded
589,589,UPI,Failed
590,590,Debit Card,Refunded
591,591,Credit Card,Paid
592,592,Debit Card,Paid
593,593,Debit Card,Failed
594,594,Net Banking,Refunded
595,595,Net Banking,Paid
596,596,Credit Card,Failed
597,597,COD,Paid
598,598,Debit Card,Paid
599,599,UPI,Paid
600,600,UPI,Refunded
601,601,Debit Card,Paid
602,602,Credit Card,Paid
603,603,Debit Card,Paid
604,604,Debit Card,Refunded
605,605,Net Banking,Paid
606,606,Credit Card,Refunded
607,607,COD,Paid
608,608,Net Banking,Refunded
609,609,UPI,Paid
610,610,Credit Card,Paid
611,611,Net Banking,Paid
612,612,UPI,Paid
613,613,COD,Refunded
614,614,UPI,Paid
615,615,Credit Card,Paid
616,616,UPI,Paid
617,617,Debit Card,Failed
618,618,Debit Card,Paid
619,619,UPI,Failed
620,620,Credit Card,Paid
621,621,Credit Card,Failed
622,622,Debit Card,Paid
623,623,COD,Refunded
624,624,UPI,Paid
625,625,Credit Card,Paid
626,626,UPI,Paid
627,627,Net Banking,Failed
628,628,Debit Card,Paid
629,629,Debit Card,Refunded
630,630,UPI,Refunded
631,631,Credit Card,Refunded
632,632,Debit Card,Paid
633,633,Debit Card,Paid
634,634,Net Banking,Refunded
635,635,UPI,Paid
636,636,Credit Card,Paid
637,637,Credit Card,Paid
638,638,Debit Card,Failed
639,639,Credit Card,Failed
640,640,Net Banking,Paid
641,641,UPI,Paid
642,642,Net Banking,Refunded
643,643,UPI,Paid
644,644,Credit Card,Paid
645,645,Credit Card,Refunded
646,646,COD,Paid
647,647,UPI,Paid
648,648,Net Banking,Failed
649,649,UPI,Paid
650,650,UPI,Paid
651,651,UPI,Paid
652,652,Debit Card,Refunded
653,653,Credit Card,Refunded
654,654,UPI,Paid
655,655,UPI,Paid
656,656,UPI,Paid
657,657,Credit Card,Paid
658,658,Net Banking,Paid
659,659,UPI,Refunded
660,660,COD,Failed
661,661,UPI,Paid
662,662,Net Banking,Failed
663,663,Debit Card,Failed
664,664,Debit Card,Paid
665,665,Credit Card,Paid
666,666,UPI,Failed
667,667,Credit Card,Failed
668,668,UPI,Refunded
669,669,Debit Card,Paid
670,670,UPI,Paid
671,671,UPI,Paid
672,672,UPI,Paid
673,673,Net Banking,Paid
674,674,Credit Card,Refunded
675,675,UPI,Paid
676,676,UPI,Paid
677,677,UPI,Refunded
678,678,Credit Card,Failed
679,679,Credit Card,Paid
680,680,Credit Card,Failed
681,681,Debit Card,Paid
682,682,UPI,Paid
683,683,Debit Card,Paid
684,684,Debit Card,Paid
685,685,Debit Card,Refunded
686,686,UPI,Refunded
687,687,Debit Card,Paid
688,688,UPI,Paid
689,689,UPI,Paid
690,690,Net Banking,Refunded
691,691,Credit Card,Paid
692,692,UPI,Paid
693,693,UPI,Refunded
694,694,Debit Card,Refunded
695,695,Credit Card,Paid
696,696,Credit Card,Refunded
697,697,Credit Card,Failed
698,698,Debit Card,Refunded
699,699,COD,Paid
700,700,Net Banking,Failed
701,701,UPI,Paid
702,702,COD,Paid
703,703,Credit Card,Paid
704,704,Credit Card,Refunded
705,705,Credit Card,Paid
706,706,Net Banking,Paid
707,707,Debit Card,Paid
708,708,Debit Card,Paid
709,709,UPI,Paid
710,710,UPI,Refunded
711,711,Net Banking,Paid
712,712,Credit Card,Failed
713,713,Debit Card,Failed
714,714,Credit Card,Paid
715,715,UPI,Paid
716,716,COD,Failed
717,717,COD,Failed
718,718,COD,Failed
719,719,UPI,Paid
720,720,Debit Card,Refunded
721,721,Credit Card,Paid
722,722,COD,Failed
723,723,UPI,Paid
724,724,Credit Card,Paid
725,725,Net Banking,Paid
726,726,COD,Refunded
727,727,Credit Card,Paid
728,728,Net Banking,Paid
729,729,UPI,Paid
730,730,UPI,Paid
731,731,Credit Card,Paid
732,732,Debit Card,Paid
733,733,UPI,Paid
734,734,Credit Card,Paid
735,735,Credit Card,Failed
736,736,UPI,Paid
737,737,UPI,Paid
738,738,UPI,Paid
739,739,UPI,Refunded
740,740,Credit Card,Paid
741,741,Debit Card,Paid
742,742,UPI,Paid
743,743,COD,Paid
744,744,UPI,Paid
745,745,UPI,Paid
746,746,UPI,Paid
747,747,Net Banking,Paid
748,748,UPI,Refunded
749,749,Net Banking,Refunded
750,750,UPI,Paid
751,751,Credit Card,Paid
752,752,UPI,Failed
753,753,Debit Card,Refunded
754,754,COD,Refunded
755,755,Net Banking,Refunded
756,756,Debit Card,Failed
757,757,Credit Card,Paid
758,758,UPI,Paid
759,759,UPI,Paid
760,760,UPI,Paid
761,761,UPI,Paid
762,762,Credit Card,Paid
763,763,UPI,Paid
764,764,Net Banking,Paid
765,765,UPI,Refunded
766,766,Net Banking,Paid
767,767,UPI,Paid
768,768,Credit Card,Refunded
769,769,UPI,Paid
770,770,Net Banking,Paid
771,771,UPI,Paid
772,772,UPI,Paid
773,773,Debit Card,Paid
774,774,UPI,Failed
775,775,Debit Card,Failed
776,776,UPI,Paid
777,777,COD,Paid
778,778,Credit Card,Paid
779,779,Debit Card,Paid
780,780,Credit Card,Failed
781,781,Debit Card,Paid
782,782,UPI,Paid
783,783,UPI,Refunded
784,784,UPI,Paid
785,785,Credit Card,Paid
786,786,Credit Card,Paid
787,787,UPI,Paid
788,788,UPI,Paid
789,789,COD,Failed
790,790,Credit Card,Paid
791,791,Debit Card,Refunded
792,792,Credit Card,Paid
793,793,UPI,Paid
794,794,Debit Card,Paid
795,795,UPI,Paid
796,796,UPI,Paid
797,797,COD,Paid
798,798,Credit Card,Paid
799,799,UPI,Paid
800,800,UPI,Paid
801,801,UPI,Paid
802,802,Credit Card,Paid
803,803,Credit Card,Failed
804,804,Debit Card,Paid
805,805,UPI,Paid
806,806,COD,Paid
807,807,Credit Card,Paid
808,808,Credit Card,Paid
809,809,Credit Card,Paid
810,810,Credit Card,Refunded
811,811,Net Banking,Paid
812,812,Debit Card,Paid
813,813,Debit Card,Refunded
814,814,Credit Card,Paid
815,815,UPI,Paid
816,816,UPI,Paid
817,817,Net Banking,Paid
818,818,UPI,Paid
819,819,Credit Card,Failed
820,820,UPI,Paid
821,821,Debit Card,Paid
822,822,Net Banking,Paid
823,823,Debit Card,Failed
824,824,Debit Card,Paid
825,825,UPI,Paid
826,826,UPI,Paid
827,827,Net Banking,Paid
828,828,Credit Card,Paid
829,829,COD,Paid
830,830,Debit Card,Paid
831,831,Credit Card,Paid
832,832,UPI,Refunded
833,833,Credit Card,Paid
834,834,COD,Refunded
835,835,COD,Failed
836,836,Credit Card,Refunded
837,837,UPI,Paid
838,838,Debit Card,Failed
839,839,UPI,Failed
840,840,UPI,Paid
841,841,COD,Failed
842,842,UPI,Failed
843,843,Debit Card,Paid
844,844,UPI,Paid
845,845,Credit Card,Paid
846,846,COD,Refunded
847,847,Credit Card,Paid
848,848,UPI,Refunded
849,849,Debit Card,Refunded
850,850,Net Banking,Paid
851,851,Credit Card,Refunded
852,852,Debit Card,Paid
853,853,UPI,Paid
854,854,Credit Card,Paid
855,855,COD,Refunded
856,856,Credit Card,Paid
857,857,Net Banking,Paid
858,858,Net Banking,Failed
859,859,Credit Card,Paid
860,860,Credit Card,Failed
861,861,Debit Card,Paid
862,862,Debit Card,Paid
863,863,UPI,Refunded
864,864,Debit Card,Paid
865,865,Credit Card,Paid
866,866,Credit Card,Paid
867,867,Debit Card,Refunded
868,868,UPI,Failed
869,869,Net Banking,Paid
870,870,UPI,Failed
871,871,Credit Card,Paid
872,872,UPI,Paid
873,873,Credit Card,Paid
874,874,UPI,Paid
875,875,Credit Card,Paid
876,876,Credit Card,Paid
877,877,UPI,Paid
878,878,COD,Refunded
879,879,Credit Card,Paid
880,880,UPI,Refunded
881,881,Net Banking,Paid
882,882,Debit Card,Refunded
883,883,Debit Card,Paid
884,884,Credit Card,Paid
885,885,UPI,Paid
886,886,UPI,Refunded
887,887,Debit Card,Failed
888,888,UPI,Paid
889,889,UPI,Paid
890,890,UPI,Paid
891,891,Debit Card,Paid
892,892,Debit Card,Paid
893,893,Debit Card,Paid
894,894,UPI,Paid
895,895,UPI,Refunded
896,896,Net Banking,Paid
897,897,UPI,Paid
898,898,UPI,Paid
899,899,UPI,Paid
900,900,UPI,Paid
901,901,UPI,Paid
902,902,Net Banking,Refunded
903,903,Debit Card,Paid
904,904,Net Banking,Paid
905,905,Debit Card,Paid
906,906,COD,Failed
907,907,COD,Refunded
908,908,UPI,Paid
909,909,Debit Card,Paid
910,910,Net Banking,Paid
911,911,UPI,Paid
912,912,Credit Card,Paid
913,913,Net Banking,Paid
914,914,Debit Card,Paid
915,915,UPI,Refunded
916,916,Credit Card,Failed
917,917,Credit Card,Paid
918,918,Credit Card,Failed
919,919,Net Banking,Paid
920,920,Credit Card,Failed
921,921,Credit Card,Refunded
922,922,Debit Card,Paid
923,923,Net Banking,Refunded
924,924,UPI,Paid
925,925,Debit Card,Paid
926,926,UPI,Paid
927,927,UPI,Paid
928,928,UPI,Paid
929,929,UPI,Failed
930,930,Debit Card,Paid
931,931,UPI,Refunded
932,932,Debit Card,Paid
933,933,UPI,Paid
934,934,Debit Card,Paid
935,935,Credit Card,Paid
936,936,Net Banking,Paid
937,937,COD,Paid
938,938,Credit Card,Paid
939,939,Net Banking,Failed
940,940,Debit Card,Paid
941,941,Net Banking,Paid
942,942,Net Banking,Paid
943,943,UPI,Refunded
944,944,Debit Card,Paid
945,945,Credit Card,Paid
946,946,Debit Card,Failed
947,947,UPI,Paid
948,948,Credit Card,Paid
949,949,UPI,Paid
950,950,UPI,Refunded
951,951,UPI,Paid
952,952,Debit Card,Paid
953,953,Debit Card,Failed
954,954,Credit Card,Paid
955,955,UPI,Refunded
956,956,UPI,Paid
957,957,UPI,Paid
958,958,COD,Paid
959,959,Debit Card,Failed
960,960,UPI,Paid
961,961,Debit Card,Failed
962,962,UPI,Refunded
963,963,Debit Card,Paid
964,964,Debit Card,Failed
965,965,COD,Paid
966,966,UPI,Paid
967,967,Net Banking,Paid
968,968,Credit Card,Paid
969,969,Debit Card,Paid
970,970,UPI,Paid
971,971,Credit Card,Paid
972,972,Net Banking,Failed
973,973,Net Banking,Paid
974,974,Debit Card,Paid
975,975,Debit Card,Paid
976,976,Credit Card,Paid
977,977,UPI,Paid
978,978,UPI,Paid
979,979,Net Banking,Paid
980,980,Debit Card,Paid
981,981,UPI,Paid
982,982,Credit Card,Refunded
983,983,UPI,Paid
984,984,UPI,Refunded
985,985,Net Banking,Refunded
986,986,Net Banking,Paid
987,987,Net Banking,Paid
988,988,Net Banking,Paid
989,989,UPI,Refunded
990,990,Credit Card,Paid
991,991,COD,Failed
992,992,UPI,Paid
993,993,Net Banking,Paid
994,994,COD,Paid
995,995,COD,Paid
996,996,UPI,Failed
997,997,Credit Card,Refunded
998,998,COD,Paid
999,999,UPI,Paid
1000,1000,UPI,Refunded
1001,1001,Credit Card,Paid
1002,1002,UPI,Paid
1003,1003,Credit Card,Failed
1004,1004,Credit Card,Paid
1005,1005,UPI,Failed
1006,1006,Debit Card,Failed
1007,1007,UPI,Paid
1008,1008,Credit Card,Refunded
1009,1009,Debit Card,Paid
1010,1010,UPI,Paid
1011,1011,UPI,Paid
1012,1012,Debit Card,Paid
1013,1013,Debit Card,Paid
1014,1014,Debit Card,Paid
1015,1015,UPI,Refunded
1016,1016,Net Banking,Paid
1017,1017,UPI,Paid
1018,1018,Credit Card,Paid
1019,1019,COD,Paid
1020,1020,UPI,Failed
1021,1021,Credit Card,Paid
1022,1022,UPI,Paid
1023,1023,Debit Card,Paid
1024,1024,COD,Paid
1025,1025,UPI,Failed
1026,1026,Debit Card,Failed
1027,1027,COD,Paid
1028,1028,UPI,Failed
1029,1029,Credit Card,Paid
1030,1030,Net Banking,Paid
1031,1031,Net Banking,Paid
1032,1032,Credit Card,Refunded
1033,1033,UPI,Paid
1034,1034,UPI,Failed
1035,1035,UPI,Paid
1036,1036,UPI,Paid
1037,1037,Debit Card,Failed
1038,1038,UPI,Refunded
1039,1039,COD,Paid
1040,1040,Debit Card,Paid
1041,1041,UPI,Paid
1042,1042,Credit Card,Paid
1043,1043,Credit Card,Paid
1044,1044,UPI,Refunded
1045,1045,Net Banking,Paid
1046,1046,Debit Card,Paid
1047,1047,COD,Paid
1048,1048,Net Banking,Failed
1049,1049,Credit Card,Paid
1050,1050,Credit Card,Paid
