order_id,customer_id,order_date,product_id,quantity,unit_price,discount_pct,discount_amount,revenue,cost,profit,order_status
31,3856,2022-10-19,617,1,189.42,0.25,47.36,142.06,145.21,-3.15,Returned
32,8846,2022-04-27,664,2,333.29,0.1,66.66,599.92,469.84,130.08,Returned
33,2642,2023-08-15,530,1,7490.44,0.1,749.04,6741.4,5714.97,1026.43,Cancelled
34,9329,2023-11-18,824,4,32572.52,0.15,19543.51,110746.57,89315.2,21431.37,Completed
35,5209,2024-01-14,687,3,5337.23,0.0,0.0,16011.69,10574.85,5436.84,Completed
36,9277,2024-08-05,213,1,968.01,0.1,96.8,871.21,670.84,200.37,Completed
37,5687,2023-11-14,502,2,6655.54,0.0,0.0,13311.08,8041.78,5269.3,Completed
38,1999,2023-09-21,975,4,16719.78,0.0,0.0,66879.12,43706.4,23172.72,Returned
39,8492,2023-08-16,509,3,7690.92,0.05,1153.64,21919.12,13185.96,8733.16,Returned
40,3296,2023-01-22,957,1,32007.59,0.1,3200.76,28806.83,22810.75,5996.08,Completed
41,7705,2023-10-14,433,2,230.46,0.1,46.09,414.83,315.94,98.89,Completed
42,9532,2022-07-12,548,2,1637.46,0.0,0.0,3274.92,1900.46,1374.46,Completed
43,5401,2022-04-11,147,2,694.18,0.0,0.0,1388.36,1088.22,300.14,Completed
44,5311,2024-12-29,874,1,16385.5,0.15,2457.82,13927.68,9026.23,4901.45,Completed
45,5940,2023-03-20,652,1,335.26,0.0,0.0,335.26,192.64,142.62,Returned
46,1145,2023-03-09,864,1,24463.76,0.0,0.0,24463.76,13888.18,10575.58,Completed
47,7933,2023-06-21,581,2,1693.29,0.0,0.0,3386.58,1960.28,1426.3,Completed
48,8528,2023-08-24,682,1,8239.04,0.25,2059.76,6179.28,5701.86,477.42,Cancelled
49,2182,2023-12-09,506,4,18152.35,0.1,7260.94,65348.46,40644.64,24703.82,Completed
50,2574,2022-11-15,187,1,326.91,0.15,49.04,277.87,219.14,58.73,Returned
51,4825,2022-08-13,134,1,18669.31,0.0,0.0,18669.31,12737.32,5931.99,Completed
52,5484,2023-01-23,968,1,222.22,0.1,22.22,200.0,159.85,40.15,Completed
53,348,2024-04-25,817,1,1080.94,0.0,0.0,1080.94,795.23,285.71,Completed
54,7424,2022-03-12,736,1,317.38,0.05,15.87,301.51,209.47,92.04,Completed
55,9034,2023-03-20,834,2,16689.98,0.15,5006.99,28372.97,26518.96,1854.01,Returned
56,9095,2023-08-22,680,2,10923.75,0.15,3277.12,18570.38,17040.38,1530.0,Completed
57,1804,2023-01-22,483,1,586.6,0.2,117.32,469.28,442.22,27.06,Completed
58,6153,2022-01-18,687,3,5337.23,0.1,1601.17,14410.52,10574.85,3835.67,Completed
59,4015,2023-07-07,724,1,15762.14,0.05,788.11,14974.03,9117.71,5856.32,Cancelled
60,389,2024-05-23,448,2,1573.46,0.0,0.0,3146.92,2002.04,1144.88,Completed
61,1946,2022-10-07,581,1,1693.29,0.1,169.33,1523.96,980.14,543.82,Completed
62,4315,2024-02-10,996,2,1426.78,0.0,0.0,2853.56,2105.38,748.18,Returned
63,255,2024-08-11,252,3,256.3,0.1,76.89,692.01,463.83,228.18,Completed
64,6121,2022-11-25,967,1,6796.82,0.05,339.84,6456.98,4526.58,1930.4,Completed
65,1071,2023-05-23,986,1,195.85,0.0,0.0,195.85,146.55,49.3,Completed
66,8232,2023-03-26,597,2,486.73,0.05,48.67,924.79,762.06,162.73,Cancelled
67,9468,2024-04-18,613,1,17105.84,0.1,1710.58,15395.26,13104.54,2290.72,Completed
68,1352,2023-01-28,402,1,2315.48,0.05,115.77,2199.71,1364.02,835.69,Cancelled
69,1450,2022-04-19,716,1,840.57,0.0,0.0,840.57,510.18,330.39,Completed
70,5062,2022-12-25,531,3,2541.54,0.15,1143.69,6480.93,4962.81,1518.12,Completed
71,4677,2024-08-13,551,2,5664.19,0.1,1132.84,10195.54,8197.8,1997.74,Completed
72,5103,2024-07-23,300,2,970.41,0.05,97.04,1843.78,1132.6,711.18,Completed
73,2013,2022-11-14,378,1,4640.52,0.0,0.0,4640.52,3625.11,1015.41,Returned
74,8873,2022-12-07,149,2,206.63,0.0,0.0,413.26,306.14,107.12,Cancelled
75,6457,2022-12-15,601,1,532.13,0.2,106.43,425.7,353.86,71.84,Cancelled
76,6371,2022-01-27,576,1,271.79,0.0,0.0,271.79,186.36,85.43,Completed
77,1072,2023-09-30,629,1,21195.86,0.05,1059.79,20136.07,15098.86,5037.21,Cancelled
78,7542,2023-02-05,167,2,1416.87,0.0,0.0,2833.74,1793.98,1039.76,Cancelled
79,4807,2022-11-12,669,1,292.56,0.15,43.88,248.68,209.28,39.4,Completed
80,5338,2023-01-03,517,1,830.99,0.25,207.75,623.24,630.92,-7.68,Returned
81,3605,2022-12-09,563,1,8906.25,0.1,890.62,8015.63,6033.29,1982.34,Completed
82,1445,2023-11-24,116,1,192.86,0.0,0.0,192.86,156.93,35.93,Completed
83,6416,2024-06-22,291,3,418.85,0.2,251.31,1005.24,718.23,287.01,Completed
84,4733,2022-07-05,926,1,10851.05,0.0,0.0,10851.05,6347.29,4503.76,Completed
85,1282,2024-04-15,926,3,10851.05,0.1,3255.32,29297.83,19041.87,10255.96,Cancelled
86,10000,2022-11-15,721,4,14765.8,0.15,8859.48,50203.72,43639.56,6564.16,Cancelled
87,4989,2024-08-12,550,1,1942.51,0.05,97.13,1845.38,1178.5,666.88,Cancelled
88,7904,2023-08-17,86,4,524.15,0.25,524.15,1572.45,1370.72,201.73,Completed
89,3652,2024-09-18,306,2,1191.95,0.15,357.58,2026.32,1691.5,334.82,Completed
90,2746,2024-03-03,761,1,47060.02,0.1,4706.0,42354.02,31031.3,11322.72,Completed
91,1621,2022-12-19,114,1,8982.17,0.1,898.22,8083.95,6652.06,1431.89,Returned
92,6939,2022-12-21,631,1,1264.46,0.1,126.45,1138.01,957.48,180.53,Completed
93,198,2022-04-16,420,1,30481.94,0.2,6096.39,24385.55,17409.78,6975.77,Completed
94,4258,2023-02-22,711,2,44352.42,0.15,13305.73,75399.11,71112.7,4286.41,Completed
95,5547,2023-10-04,879,1,692.79,0.1,69.28,623.51,482.7,140.81,Returned
96,1234,2022-07-24,435,3,3861.79,0.0,0.0,11585.37,8362.68,3222.69,Completed
97,8469,2023-07-19,841,1,282.37,0.2,56.47,225.9,225.63,0.27,Cancelled
98,975,2022-07-08,1,4,13790.53,0.0,0.0,55162.12,38155.24,17006.88,Completed
99,158,2023-06-27,319,3,20804.56,0.0,0.0,62413.68,39960.63,22453.05,Returned
100,6185,2022-09-15,14,1,468.88,0.1,46.89,421.99,373.25,48.74,Completed
101,1016,2023-03-29,507,3,967.71,0.05,145.16,2757.97,2176.17,581.8,Returned
102,3334,2022-03-19,178,1,17435.91,0.1,1743.59,15692.32,12747.29,2945.03,Completed
103,421,2024-11-12,775,2,22995.61,0.05,2299.56,43691.66,35205.18,8486.48,Completed
104,4618,2023-05-18,859,2,14655.05,0.1,2931.01,26379.09,21078.58,5300.51,Completed
105,4675,2022-07-04,248,1,777.05,0.05,38.85,738.2,545.15,193.05,Cancelled
106,1371,2023-07-01,948,1,2788.13,0.1,278.81,2509.32,1970.01,539.31,Completed
107,3928,2022-02-18,278,2,4408.99,0.0,0.0,8817.98,6697.32,2120.66,Completed
108,766,2022-06-17,568,1,8327.64,0.0,0.0,8327.64,6141.21,2186.43,Completed
109,1374,2022-01-21,971,1,6824.47,0.0,0.0,6824.47,4800.69,2023.78,Completed
110,3570,2023-01-27,465,2,30373.74,0.05,3037.37,57710.11,42547.24,15162.87,Returned
111,385,2024-06-21,963,1,1062.83,0.1,106.28,956.55,728.55,228.0,Cancelled
112,3400,2022-08-17,187,2,326.91,0.15,98.07,555.75,438.28,117.47,Completed
113,1355,2022-12-18,220,1,1063.64,0.05,53.18,1010.46,789.0,221.46,Completed
114,5903,2022-08-13,861,2,526.11,0.0,0.0,1052.22,655.86,396.36,Completed
115,1452,2022-08-22,995,2,24592.54,0.0,0.0,49185.08,28738.7,20446.38,Completed
116,4812,2022-09-23,230,3,18249.66,0.15,8212.35,46536.63,32577.9,13958.73,Cancelled
117,1336,2024-05-07,216,1,3325.03,0.0,0.0,3325.03,2375.85,949.18,Completed
118,2054,2022-11-10,655,1,11257.07,0.0,0.0,11257.07,9077.86,2179.21,Completed
119,4883,2023-05-14,504,2,817.13,0.0,0.0,1634.26,919.8,714.46,Completed
120,4039,2024-05-26,125,2,7584.68,0.2,3033.87,12135.49,8753.48,3382.01,Completed
121,1980,2022-07-30,6,1,346.48,0.15,51.97,294.51,236.36,58.15,Completed
122,2333,2022-04-09,902,1,264.9,0.05,13.24,251.66,179.03,72.63,Returned
123,3377,2022-12-11,188,4,309.74,0.0,0.0,1238.96,820.76,418.2,Completed
124,6753,2024-06-22,445,1,405.06,0.2,81.01,324.05,305.66,18.39,Completed
125,3936,2023-06-08,992,1,782.88,0.25,195.72,587.16,583.1,4.06,Returned
126,8689,2022-04-28,11,2,10334.5,0.0,0.0,20669.0,11385.24,9283.76,Completed
127,7809,2023-08-23,339,4,4061.6,0.2,3249.28,12997.12,10143.6,2853.52,Cancelled
128,8058,2024-05-05,629,2,21195.86,0.0,0.0,42391.72,30197.72,12194.0,Completed
129,3202,2022-07-28,921,2,7819.86,0.0,0.0,15639.72,10300.6,5339.12,Completed
130,4654,2023-04-26,989,2,1385.08,0.1,277.02,2493.14,1585.46,907.68,Completed
131,5373,2024-07-11,634,3,3823.69,0.25,2867.77,8603.3,8240.28,363.02,Completed
132,7036,2022-11-25,939,2,1924.29,0.25,962.14,2886.44,2416.82,469.62,Cancelled
133,9883,2023-02-21,62,4,377.19,0.2,301.75,1207.01,1079.08,127.93,Returned
134,4136,2022-09-11,563,3,8906.25,0.0,0.0,26718.75,18099.87,8618.88,Completed
135,9988,2024-08-02,875,1,4336.15,0.15,650.42,3685.73,2748.38,937.35,Completed
136,7696,2022-01-05,404,3,373.41,0.1,112.02,1008.21,709.14,299.07,Completed
137,2167,2022-10-30,921,1,7819.86,0.2,1563.97,6255.89,5150.3,1105.59,Completed
138,3392,2024-09-06,828,1,8129.19,0.15,1219.38,6909.81,5068.34,1841.47,Returned
139,1064,2023-08-30,420,1,30481.94,0.0,0.0,30481.94,17409.78,13072.16,Completed
140,9302,2024-08-21,402,3,2315.48,0.1,694.64,6251.8,4092.06,2159.74,Completed
141,1055,2024-01-06,748,1,411.15,0.25,102.79,308.36,314.83,-6.47,Cancelled
142,335,2023-01-25,576,1,271.79,0.1,27.18,244.61,186.36,58.25,Completed
143,5291,2024-04-29,830,1,21778.34,0.0,0.0,21778.34,17427.2,4351.14,Completed
144,6680,2024-03-29,64,3,6476.52,0.1,1942.96,17486.6,12022.44,5464.16,Completed
145,9283,2022-01-12,522,1,440.52,0.15,66.08,374.44,359.95,14.49,Returned
146,8162,2022-12-03,575,1,1097.05,0.15,164.56,932.49,638.02,294.47,Completed
147,5698,2023-08-30,874,1,16385.5,0.0,0.0,16385.5,9026.23,7359.27,Completed
148,7528,2022-05-09,384,1,10500.59,0.05,525.03,9975.56,7534.97,2440.59,Completed
149,7007,2022-01-11,197,1,686.39,0.0,0.0,686.39,418.66,267.73,Cancelled
150,7067,2023-05-05,980,1,261.63,0.05,13.08,248.55,152.76,95.79,Completed
151,8297,2022-09-29,573,3,26273.14,0.0,0.0,78819.42,63505.74,15313.68,Completed
152,6016,2024-05-30,226,2,257.54,0.2,103.02,412.06,365.36,46.7,Completed
153,8806,2022-01-09,720,1,32062.08,0.05,1603.1,30458.98,18855.21,11603.77,Completed
154,3929,2024-06-05,477,1,167.09,0.1,16.71,150.38,123.19,27.19,Completed
155,4475,2024-02-15,432,1,607.9,0.05,30.4,577.5,402.77,174.73,Cancelled
156,9867,2022-10-08,244,1,9056.21,0.1,905.62,8150.59,7283.93,866.66,Completed
157,8540,2023-04-03,803,1,736.31,0.1,73.63,662.68,496.31,166.37,Completed
158,1038,2024-07-24,350,1,1681.93,0.0,0.0,1681.93,1001.64,680.29,Returned
159,4575,2023-03-27,16,1,431.45,0.15,64.72,366.73,257.02,109.71,Completed
160,3291,2024-03-01,15,1,1223.25,0.1,122.32,1100.93,714.6,386.33,Completed
161,8576,2024-03-22,177,1,1335.49,0.05,66.77,1268.72,902.16,366.56,Completed
162,3755,2022-02-25,192,4,293.73,0.1,117.49,1057.43,922.36,135.07,Completed
163,4703,2023-12-09,607,2,24226.28,0.05,2422.63,46029.93,38621.34,7408.59,Completed
164,1592,2023-01-14,491,1,165.44,0.0,0.0,165.44,94.32,71.12,Completed
165,1436,2024-10-06,168,2,9401.48,0.0,0.0,18802.96,12743.2,6059.76,Completed
166,9634,2022-01-23,95,2,4714.88,0.15,1414.46,8015.3,5746.42,2268.88,Completed
167,672,2024-02-11,160,3,2040.55,0.1,612.16,5509.49,4454.73,1054.76,Cancelled
168,7918,2022-08-19,224,1,9657.64,0.2,1931.53,7726.11,6399.34,1326.77,Completed
169,977,2022-07-29,610,1,568.16,0.0,0.0,568.16,421.68,146.48,Completed
170,2899,2024-05-15,267,1,34785.76,0.0,0.0,34785.76,27664.13,7121.63,Completed
171,3008,2024-06-17,484,1,24556.44,0.1,2455.64,22100.8,17626.42,4474.38,Cancelled
172,8643,2024-05-22,753,2,5390.03,0.1,1078.01,9702.05,6858.48,2843.57,Returned
173,7969,2022-12-29,948,1,2788.13,0.15,418.22,2369.91,1970.01,399.9,Completed
174,3796,2023-04-20,218,1,12381.54,0.15,1857.23,10524.31,8856.64,1667.67,Returned
175,8885,2022-07-14,670,1,175.47,0.1,17.55,157.92,111.01,46.91,Completed
176,5283,2024-07-21,344,1,1457.28,0.0,0.0,1457.28,1048.66,408.62,Completed
177,3226,2024-11-01,937,2,391.13,0.0,0.0,782.26,611.64,170.62,Completed
178,6950,2024-02-23,64,1,6476.52,0.0,0.0,6476.52,4007.48,2469.04,Completed
179,8638,2024-12-21,817,1,1080.94,0.0,0.0,1080.94,795.23,285.71,Cancelled
180,3098,2023-06-13,404,1,373.41,0.15,56.01,317.4,236.38,81.02,Completed
181,2183,2022-09-28,313,3,15147.66,0.05,2272.15,43170.83,28228.44,14942.39,Completed
182,5043,2023-06-22,514,2,2669.99,0.1,534.0,4805.98,3221.08,1584.9,Returned
183,7185,2023-10-19,223,2,584.47,0.0,0.0,1168.94,940.4,228.54,Completed
184,1290,2022-03-06,227,1,4222.73,0.05,211.14,4011.59,2547.26,1464.33,Completed
185,5579,2024-05-11,32,2,223.24,0.2,89.3,357.18,345.5,11.68,Completed
186,464,2023-05-05,734,1,20072.12,0.05,1003.61,19068.51,13671.62,5396.89,Completed
187,3569,2024-12-27,890,1,14568.36,0.2,2913.67,11654.69,8741.55,2913.14,Completed
188,326,2022-12-28,629,2,21195.86,0.0,0.0,42391.72,30197.72,12194.0,Completed
189,7972,2023-07-26,777,1,6413.12,0.0,0.0,6413.12,3592.79,2820.33,Completed
190,4582,2024-09-21,758,1,45528.52,0.1,4552.85,40975.67,27545.01,13430.66,Completed
191,2524,2024-02-08,727,1,4155.19,0.0,0.0,4155.19,3025.2,1129.99,Completed
192,107,2024-11-08,261,2,30350.39,0.0,0.0,60700.78,37652.18,23048.6,Completed
193,4218,2023-06-29,612,1,42061.39,0.25,10515.35,31546.04,25263.72,6282.32,Completed
194,7577,2024-09-05,602,1,655.26,0.1,65.53,589.73,360.79,228.94,Returned
195,3585,2024-07-20,975,2,16719.78,0.0,0.0,33439.56,21853.2,11586.36,Completed
196,6199,2022-04-01,419,1,1407.3,0.0,0.0,1407.3,997.35,409.95,Returned
197,9968,2024-08-30,354,2,268.5,0.0,0.0,537.0,297.56,239.44,Returned
198,5155,2022-08-26,15,1,1223.25,0.05,61.16,1162.09,714.6,447.49,Returned
199,2469,2023-04-07,124,1,9382.26,0.0,0.0,9382.26,6318.03,3064.23,Cancelled
200,4590,2024-11-13,119,2,13430.83,0.0,0.0,26861.66,21441.58,5420.08,Returned
201,1291,2024-04-30,263,1,1989.07,0.05,99.45,1889.62,1126.93,762.69,Cancelled
202,385,2024-07-09,768,4,44391.6,0.0,0.0,177566.4,123842.12,53724.28,Cancelled
203,9565,2024-06-25,630,1,1014.54,0.1,101.45,913.09,630.86,282.23,Returned
204,6841,2024-02-16,172,2,389.15,0.1,77.83,700.47,452.64,247.83,Returned
205,9117,2024-10-26,550,1,1942.51,0.0,0.0,1942.51,1178.5,764.01,Cancelled
206,6387,2023-07-24,292,1,1565.17,0.1,156.52,1408.65,888.47,520.18,Completed
207,6294,2023-09-04,468,1,640.59,0.15,96.09,544.5,363.9,180.6,Returned
208,8720,2023-09-26,212,1,11754.83,0.1,1175.48,10579.35,7936.46,2642.89,Completed
209,8572,2024-09-09,177,1,1335.49,0.1,133.55,1201.94,902.16,299.78,Completed
210,1916,2023-04-08,451,3,602.71,0.1,180.81,1627.32,1207.98,419.34,Completed
211,9524,2023-10-25,956,3,1241.62,0.2,744.97,2979.89,2599.44,380.45,Completed
212,45,2024-09-16,241,2,366.2,0.0,0.0,732.4,595.3,137.1,Returned
213,4802,2023-03-07,587,3,5555.43,0.1,1666.63,14999.66,12491.25,2508.41,Cancelled
214,8852,2024-05-27,568,2,8327.64,0.1,1665.53,14989.75,12282.42,2707.33,Returned
215,3525,2023-03-01,447,1,4231.23,0.15,634.68,3596.55,2509.01,1087.54,Completed
216,6420,2022-04-15,779,3,10945.38,0.1,3283.61,29552.53,26715.3,2837.23,Completed
217,1808,2022-09-09,736,1,317.38,0.1,31.74,285.64,209.47,76.17,Completed
218,2919,2023-10-07,989,2,1385.08,0.1,277.02,2493.14,1585.46,907.68,Completed
219,3878,2022-06-27,440,1,15201.02,0.1,1520.1,13680.92,10007.88,3673.04,Cancelled
220,607,2023-12-21,305,2,2785.29,0.05,278.53,5292.05,3975.34,1316.71,Completed
221,4265,2024-12-16,345,3,1827.79,0.25,1370.84,4112.53,3155.1,957.43,Cancelled
222,9180,2024-06-10,773,1,1288.06,0.1,128.81,1159.25,710.88,448.37,Completed
223,6475,2023-02-13,547,1,249.23,0.15,37.38,211.85,146.16,65.69,Cancelled
224,545,2024-08-11,666,1,24013.02,0.0,0.0,24013.02,14557.55,9455.47,Completed
225,5949,2022-09-19,149,1,206.63,0.0,0.0,206.63,153.07,53.56,Completed
226,3315,2024-01-12,705,1,2463.05,0.15,369.46,2093.59,1444.29,649.3,Completed
227,2439,2023-10-16,489,1,5960.39,0.15,894.06,5066.33,4162.58,903.75,Completed
228,4,2023-07-29,571,1,5059.92,0.2,1011.98,4047.94,2965.75,1082.19,Returned
229,5817,2022-04-28,913,2,5970.44,0.0,0.0,11940.88,9403.28,2537.6,Completed
230,1813,2024-08-28,699,1,7539.14,0.1,753.91,6785.23,5678.95,1106.28,Completed
231,1256,2022-11-04,361,1,150.09,0.05,7.5,142.59,90.79,51.8,Cancelled
232,3017,2023-05-05,707,1,2391.75,0.15,358.76,2032.99,1770.04,262.95,Completed
233,8758,2024-01-27,958,2,1034.91,0.1,206.98,1862.84,1662.32,200.52,Returned
234,8883,2023-10-10,795,1,3787.9,0.2,757.58,3030.32,2476.34,553.98,Returned
235,6839,2023-08-31,794,1,525.19,0.1,52.52,472.67,358.18,114.49,Completed
236,281,2024-01-07,168,1,9401.48,0.05,470.07,8931.41,6371.6,2559.81,Cancelled
237,5885,2022-01-24,144,1,39932.32,0.1,3993.23,35939.09,28762.06,7177.03,Completed
238,4836,2024-01-23,413,1,29653.57,0.15,4448.04,25205.53,21103.6,4101.93,Completed
239,9113,2024-09-27,661,1,24924.65,0.0,0.0,24924.65,20292.75,4631.9,Completed
240,3353,2022-12-15,324,1,443.85,0.1,44.39,399.46,346.09,53.37,Completed
241,1648,2022-01-25,405,1,9218.19,0.0,0.0,9218.19,6990.44,2227.75,Returned
242,1990,2024-10-11,166,1,5641.46,0.0,0.0,5641.46,3233.59,2407.87,Completed
243,903,2023-08-22,105,1,17553.07,0.0,0.0,17553.07,10430.77,7122.3,Cancelled
244,788,2024-03-11,861,1,526.11,0.0,0.0,526.11,327.93,198.18,Completed
245,135,2024-06-28,803,2,736.31,0.0,0.0,1472.62,992.62,480.0,Cancelled
246,2659,2024-08-16,79,3,14236.94,0.1,4271.08,38439.74,27548.97,10890.77,Completed
247,4711,2024-11-17,491,2,165.44,0.1,33.09,297.79,188.64,109.15,Completed
248,554,2023-06-25,438,1,1618.24,0.25,404.56,1213.68,1314.8,-101.12,Cancelled
249,4741,2023-05-06,511,3,24385.66,0.0,0.0,73156.98,50545.68,22611.3,Completed
250,6963,2023-05-03,68,2,1870.76,0.15,561.23,3180.29,2495.8,684.49,Completed
251,547,2024-03-01,438,1,1618.24,0.05,80.91,1537.33,1314.8,222.53,Completed
252,6396,2022-06-21,729,1,1416.95,0.15,212.54,1204.41,1032.9,171.51,Completed
253,1525,2022-02-07,433,1,230.46,0.05,11.52,218.94,157.97,60.97,Completed
254,2490,2022-10-26,811,1,38032.79,0.05,1901.64,36131.15,27070.73,9060.42,Completed
255,6344,2024-11-16,532,1,414.58,0.05,20.73,393.85,310.06,83.79,Completed
256,3121,2023-10-10,377,1,23821.62,0.0,0.0,23821.62,17875.98,5945.64,Completed
257,7974,2024-01-18,143,3,10654.13,0.05,1598.12,30364.27,21836.34,8527.93,Completed
258,3093,2024-07-14,664,1,333.29,0.0,0.0,333.29,234.92,98.37,Completed
259,7076,2022-01-13,781,1,1055.37,0.25,263.84,791.53,847.75,-56.22,Completed
260,1635,2022-09-16,74,2,949.68,0.25,474.84,1424.52,1326.18,98.34,Completed
261,8142,2024-09-06,234,2,24228.9,0.0,0.0,48457.8,34016.18,14441.62,Returned
262,2221,2023-09-08,331,1,2483.17,0.0,0.0,2483.17,1453.02,1030.15,Completed
263,6886,2022-10-05,245,1,24242.02,0.05,1212.1,23029.92,19770.43,3259.49,Completed
264,3195,2024-08-11,561,3,561.26,0.05,84.19,1599.59,1304.16,295.43,Completed
265,9460,2024-12-25,379,3,4168.66,0.05,625.3,11880.68,8591.19,3289.49,Completed
266,4526,2024-03-18,412,5,1788.3,0.05,447.08,8494.42,6407.5,2086.92,Completed
267,3086,2023-10-18,119,1,13430.83,0.1,1343.08,12087.75,10720.79,1366.96,Completed
268,3398,2024-02-22,692,5,6735.05,0.25,8418.81,25256.44,20925.0,4331.44,Completed
269,7546,2023-05-14,911,1,461.38,0.0,0.0,461.38,255.87,205.51,Completed
270,8670,2022-07-24,532,3,414.58,0.0,0.0,1243.74,930.18,313.56,Returned
271,3843,2023-08-10,236,1,20084.39,0.15,3012.66,17071.73,14135.03,2936.7,Completed
272,5814,2024-11-07,290,1,30740.24,0.1,3074.02,27666.22,22000.97,5665.25,Cancelled
273,1570,2023-09-06,13,2,2157.45,0.2,862.98,3451.92,2955.34,496.58,Completed
274,698,2024-09-26,679,1,732.77,0.1,73.28,659.49,554.09,105.4,Completed
275,4331,2023-10-06,910,3,20115.12,0.0,0.0,60345.36,40067.43,20277.93,Completed
276,6147,2024-03-31,897,4,243.71,0.05,48.74,926.1,679.84,246.26,Returned
277,1621,2022-02-27,524,2,237.03,0.1,47.41,426.65,269.54,157.11,Returned
278,6659,2023-08-20,278,1,4408.99,0.05,220.45,4188.54,3348.66,839.88,Cancelled
279,2065,2022-11-11,206,1,1047.01,0.0,0.0,1047.01,631.22,415.79,Cancelled
280,7062,2022-06-11,543,1,14305.74,0.1,1430.57,12875.17,11336.15,1539.02,Completed
281,7434,2022-11-20,939,1,1924.29,0.1,192.43,1731.86,1208.41,523.45,Completed
282,4659,2023-12-19,293,3,371.87,0.0,0.0,1115.61,705.45,410.16,Completed
283,6792,2023-08-03,736,1,317.38,0.1,31.74,285.64,209.47,76.17,Returned
284,114,2024-06-17,246,1,337.03,0.15,50.55,286.48,260.43,26.05,Completed
285,1740,2024-01-30,549,1,2239.62,0.2,447.92,1791.7,1750.12,41.58,Returned
286,2574,2023-05-17,91,1,8455.25,0.1,845.53,7609.72,5542.43,2067.29,Cancelled
287,6801,2022-02-26,196,1,39336.63,0.2,7867.33,31469.3,24098.0,7371.3,Completed
288,2398,2022-10-24,201,2,7904.19,0.0,0.0,15808.38,9942.6,5865.78,Cancelled
289,1196,2024-10-24,967,1,6796.82,0.2,1359.36,5437.46,4526.58,910.88,Cancelled
290,6662,2023-02-14,148,4,45988.02,0.0,0.0,183952.08,120685.8,63266.28,Completed
291,8730,2024-03-17,384,1,10500.59,0.0,0.0,10500.59,7534.97,2965.62,Completed
292,7545,2023-09-12,13,1,2157.45,0.25,539.36,1618.09,1477.67,140.42,Completed
293,3789,2024-02-18,145,1,2031.82,0.05,101.59,1930.23,1485.69,444.54,Completed
294,1269,2024-02-18,422,1,8429.67,0.0,0.0,8429.67,6125.6,2304.07,Cancelled
295,8862,2023-07-20,155,1,30868.26,0.1,3086.83,27781.43,22603.86,5177.57,Completed
